step,x,y,yaw,e_y,e_yaw,t,delta,v_ref
274,89471.6,43355.5,2.18456,1.11413e-11,-6.80966e-12,0,-4.06999e-12,10
275,89471.1,43356.3,2.18456,-1.90425e-12,-7.18048e-12,0,-7.41451e-13,10
276,89470.5,43357.1,2.18456,-1.49498e-11,-2.11031e-12,0,1.014e-11,10
277,89469.9,43357.9,2.18456,-1.18803e-11,5.13589e-12,0,1.44922e-11,10
278,89469.3,43358.7,2.18456,-8.83915e-12,6.80656e-12,0,3.34115e-12,10
279,89468.8,43359.6,2.18456,-5.76961e-12,6.25811e-12,0,-1.09655e-12,10
280,89468.2,43360.4,2.18456,-2.70006e-12,4.81126e-12,0,-2.89404e-12,10
281,89467.6,43361.2,2.18456,3.41061e-13,3.00471e-12,0,-3.61347e-12,10
282,89467,43362,2.18456,3.41061e-12,1.06537e-12,0,-3.8785e-12,10
283,89466.5,43362.8,2.18456,6.45173e-12,-9.37916e-13,0,-4.00693e-12,10
284,89465.9,43363.7,2.18456,9.52127e-12,-2.95586e-12,0,-4.03588e-12,10
285,89465.3,43364.5,2.18456,1.25908e-11,-4.99067e-12,0,-4.06999e-12,10
286,89464.7,43365.3,2.18456,1.14539e-11,-7.0326e-12,0,-4.08384e-12,10
287,89464.2,43366.1,2.18456,-1.59162e-12,-7.39453e-12,0,-7.24043e-13,10
288,89463.6,43366.9,2.18456,-1.46088e-11,-2.32125e-12,0,1.01467e-11,10
289,89463,43367.7,2.18456,-1.15392e-11,4.91518e-12,0,1.44725e-11,10
290,89462.4,43368.6,2.18456,-8.49809e-12,6.58185e-12,0,3.33316e-12,10
291,89461.9,43369.4,2.18456,-5.42855e-12,6.03206e-12,0,-1.09974e-12,10
292,89461.3,43370.2,2.18456,-2.359e-12,4.58433e-12,0,-2.89564e-12,10
293,89460.7,43371,2.18456,6.82121e-13,2.77733e-12,0,-3.614e-12,10
294,89460.1,43371.8,2.18456,3.75167e-12,8.37996e-13,0,-3.8785e-12,10
295,89459.6,43372.6,2.18456,6.82121e-12,-1.16529e-12,0,-4.00693e-12,10
296,89459,43373.5,2.18456,9.86233e-12,-3.19478e-12,0,-4.05862e-12,10
297,89458.4,43374.3,2.18456,1.29035e-11,-5.22293e-12,0,-4.05613e-12,10
298,89457.8,43375.1,2.18456,1.17666e-11,-7.25064e-12,0,-4.05525e-12,10
299,89457.2,43375.9,2.18456,-1.25056e-12,-7.6068e-12,0,-7.12497e-13,10
