step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
203,89635.5,43144.1,-1.0124,-3.35049,-0.132326,50.6241,-1.396,5,0.145711
204,89635.7,43143.7,0.403243,-3.02542,1.30237,50.7409,1.396,5,0.132014
205,89636.2,43143.9,-1.0124,-2.3925,-0.106654,51.1894,-1.396,5,0.130753
206,89636.5,43143.4,0.403243,-1.86718,1.33441,51.297,1.396,5,0.125912
207,89636.9,43143.6,-1.0124,-1.24475,-0.0751299,51.7677,-1.396,5,0.12475
208,89637.2,43143.2,0.403243,-0.687596,1.36719,51.8655,1.396,5,0.119669
209,89637.6,43143.4,-1.0124,-0.0769159,-0.0429051,52.3631,-1.396,5,0.118614
210,89637.9,43143,0.403243,0.51482,1.40094,52.45,1.396,5,0.113242
211,89638.4,43143.2,-1.0124,1.11214,-0.0097754,52.9807,-1.396,5,0.112305
212,89638.6,43142.7,-0.685025,1.74198,0.347682,53.4999,0.918612,5,0.106575
213,89639,43142.4,-2.10067,2.51482,-1.03853,53.7955,-1.396,5,0.100971
214,89638.8,43142,-0.685025,2.26545,0.385417,54.323,1.396,5,0.0967634
215,89639.2,43141.7,-2.10067,2.71427,-1.0186,54.6242,-1.396,5,0.0888688
216,89638.9,43141.3,-0.685025,2.43361,0.40367,55.1393,1.396,5,0.0843612
217,89639.3,43140.9,-2.10067,2.87372,-1.00062,55.4424,-1.396,5,0.0766521
218,89639,43140.5,-0.685025,2.59242,0.421692,55.9436,1.396,5,0.0721159
219,89639.4,43140.2,-2.10067,3.02379,-0.982908,56.2474,-1.396,5,0.0646152
220,89639.2,43139.8,-0.685025,2.74145,0.439422,56.7336,1.396,5,0.060069
221,89639.6,43139.4,-2.10067,3.15706,-0.96643,57.0386,-1.396,5,0.0544853
222,89639.3,43139,-0.685025,2.86331,0.454542,57.5169,1.396,5,0.0524688
223,89639.7,43138.7,-2.10067,3.26442,-0.952738,57.8274,-1.396,5,0.0493065
224,89639.4,43138.3,-0.685025,2.97197,0.46833,58.3018,1.396,5,0.0472536
225,89639.8,43137.9,-2.10067,3.37047,-0.939018,58.6177,-1.396,5,0.0441171
226,89639.6,43137.5,-0.685025,3.07917,0.482143,59.0879,1.396,5,0.042029
227,89640,43137.2,-2.10067,3.47506,-0.925277,59.409,-1.396,5,0.0389198
228,89639.7,43136.8,-0.685025,3.18477,0.495974,59.8749,1.396,5,0.0367975
229,89640.1,43136.4,-2.12519,3.53681,-0.938974,60.1939,-1.396,5.08663,0.0382969
230,89639.8,43136,-0.663294,3.18455,0.525909,60.6639,1.396,5.16338,0.0402455
231,89640.2,43135.7,-2.1572,3.54278,-0.963604,60.981,-1.396,5.27645,0.0431158
232,89640,43135.2,-0.641689,3.16472,0.554878,61.4563,1.396,5.35275,0.045053
233,89640.4,43134.9,-2.18958,3.54344,-0.988563,61.7705,-1.396,5.46709,0.0479557
234,89640.1,43134.5,-0.620286,3.139,0.583667,62.2501,1.396,5.54269,0.0498748
235,89640.5,43134.1,-2.22224,3.5386,-1.0138,62.5602,-1.396,5.65807,0.052804
236,89640.2,43133.7,-0.607201,3.00621,0.599318,63.0467,1.396,5.70428,0.0555803
237,89640.6,43133.4,-2.18908,2.5542,-1.01778,63.3567,-1.396,5.58715,0.0658273
238,89640.3,43132.9,-0.628333,1.60607,0.520523,63.857,1.396,5.51251,0.0723565
239,89640.8,43132.6,-2.15498,1.1117,-1.04234,64.1409,-1.396,5.39206,0.0828934
240,89640.5,43132.1,-0.647683,0.229201,0.444407,64.6264,1.396,5.32372,0.088872
241,89640.9,43131.8,-2.12188,-0.260026,-1.06494,64.8752,-1.396,5.20682,0.0990986
242,89640.6,43131.4,-0.664642,-1.06689,0.374286,65.3257,1.396,5.14692,0.104339
243,89641,43131.1,-2.09117,-1.52039,-1.08485,65.5387,-1.396,5.03846,0.113826
244,89640.8,43130.6,-0.675532,-2.11639,0.322311,65.95,1.396,5,0.117019
245,89641.1,43130.3,-2.09117,-1.43381,-1.06943,66.1681,-1.396,5,0.11569
246,89640.9,43129.9,-0.675532,-1.59889,0.358879,66.5889,1.396,5,0.114985
247,89641.3,43129.6,-2.09117,-0.899363,-1.03232,66.8303,-1.396,5,0.113626
248,89641,43129.2,-0.675532,-1.0334,0.397349,67.2608,1.396,5,0.112846
249,89641.4,43128.8,-2.09117,-0.318182,-0.993276,67.5281,-1.396,5,0.111455
250,89641.2,43128.4,-0.675532,-0.419621,0.43789,67.9686,1.396,5,0.110591
251,89641.6,43128.1,-2.09117,0.309431,-0.952156,68.2646,-1.396,5,0.109168
252,89641.3,43127.7,-0.675532,0.24183,0.480676,68.7149,1.396,5,0.108212
253,89641.7,43127.3,-2.09117,0.51228,-0.931938,69.0225,-1.396,5,0.103247
254,89641.5,43126.9,-0.675532,-0.101696,0.474021,69.4649,1.396,5,0.0980737
255,89641.9,43126.6,-2.09117,-0.174922,-0.955539,69.751,-1.396,5,0.0906345
256,89641.6,43126.2,-0.675532,-0.774216,0.451097,70.1856,1.396,5,0.0858232
257,89642,43125.9,-2.09117,-0.842552,-0.978219,70.4558,-1.396,5,0.0785146
258,89641.8,43125.4,-0.675532,-1.43162,0.428918,70.8882,1.396,5,0.0739704
259,89642.1,43125.1,-2.09117,-1.4991,-1.00033,71.1466,-1.396,5,0.0666978
260,89641.9,43124.7,-0.675532,-2.04586,0.409623,71.5797,1.396,5,0.0682943
261,89642.3,43124.4,-2.09117,-2.05376,-1.01543,71.8293,-1.396,5,0.0712489
262,89642,43123.9,-0.675532,-2.5956,0.394782,72.2613,1.396,5,0.0729522
263,89642.4,43123.6,-2.09117,-2.60351,-1.03025,72.503,-1.396,5,0.0758996
264,89642.2,43123.2,-0.675532,-3.14196,0.380136,72.935,1.396,5,0.077549
265,89642.6,43122.9,-2.09117,-3.15036,-1.04489,73.1695,-1.396,5,0.0804961
266,89642.3,43122.4,-0.675532,-3.68586,0.365647,73.6024,1.396,5,0.0820966
267,89642.7,43122.1,-2.09117,-3.70165,-1.05968,73.8302,-1.396,5,0.0851151
268,89642.5,43121.7,-0.675532,-4.62299,0.334106,74.253,1.396,5,0.0905746
269,89642.8,43121.4,-2.09117,-5.34631,-1.12208,74.4352,-1.396,5,0.100705
270,89642.6,43120.9,-0.675532,-6.16974,0.276091,74.8209,1.396,5,0.105071
271,89643,43120.6,-2.09117,-6.81358,-1.17654,74.9646,-1.396,5,0.114314
272,89642.7,43120.2,-0.675532,-7.55884,0.225321,75.3127,1.396,5,0.117756
273,89643.1,43119.9,-2.09117,-8.12835,-1.2237,75.4262,-1.396,5,0.126098
274,89642.9,43119.4,-0.675532,-8.81553,0.181053,75.7404,1.396,5,0.128818
275,89643.3,43119.1,-2.09117,-9.32302,-1.26472,75.8307,-1.396,5,0.136347
276,89643,43118.7,-0.675532,-9.96776,0.142261,76.1156,1.396,5,0.13851
277,89643.4,43118.4,-2.09117,-10.4257,-1.30071,76.188,-1.396,5,0.145339
278,89643.2,43118,-0.675532,-11.0392,0.107992,76.448,1.396,5,0.147073
279,89643.6,43117.6,-2.09117,-11.4579,-1.33258,76.5064,-1.396,5,0.153303
280,89643.3,43117.2,-0.675532,-12.048,0.0774541,76.7451,1.396,5,0.154704
281,89643.7,43116.9,-2.09117,-12.4359,-1.36108,76.7925,-1.396,5,0.160423
282,89643.4,43116.5,-0.675532,-13.0081,0.0500158,77.0129,1.396,5,0.16156
283,89643.8,43116.2,-2.09117,-13.375,-1.3845,77.053,-1.396,5,0.165018
284,89643.6,43115.7,-0.675532,-13.9367,0.027829,77.2644,1.396,5,0.165549
285,89644,43115.4,-2.09117,-14.2958,-1.40527,77.2989,-1.396,5,0.168349
286,89643.7,43115,-0.675532,-14.8489,0.00751902,77.5036,1.396,5,0.168806
287,89644.1,43114.7,-2.09117,-15.203,-1.42503,77.533,-1.396,5,0.171517
288,89643.9,43114.2,-0.675532,-15.7484,-0.0118205,77.7315,1.396,5,0.171907
289,89644.3,43113.9,-2.09117,-16.0982,-1.44386,77.7564,-1.396,5,0.174536
290,89644,43113.5,-0.675532,-16.6367,-0.0302715,77.9491,1.396,5,0.174865
291,89644.4,43113.2,-2.09117,-16.983,-1.46183,77.9699,-1.396,5,0.177418
292,89644.2,43112.7,-0.675532,-17.5152,-0.0479049,78.1572,1.396,5,0.177693
293,89644.5,43112.4,-2.09117,-17.8584,-1.47902,78.1742,-1.396,5,0.180174
294,89644.3,43112,-0.675532,-18.3849,-0.0647831,78.3564,1.396,5,0.180399
295,89644.7,43111.7,-2.09117,-18.7255,-1.49547,78.3701,-1.396,5,0.182813
296,89644.4,43111.2,-0.675532,-19.2468,-0.0809611,78.5475,1.396,5,0.182993
297,89644.8,43110.9,-2.09117,-19.5852,-1.51126,78.558,-1.396,5,0.185344
298,89644.6,43110.5,-0.675532,-20.1017,-0.0964876,78.731,1.396,5,0.185483
