step,x,y,yaw,e_y,e_yaw,t,delta,v_ref,delta_ref
231,89637.3,43154.1,-0.895046,-19.8392,-3.11127,13.7544,-0.00185793,3,0
232,89637.5,43153.9,-0.895325,-19.8483,-3.11155,13.4545,-0.00185793,3,0
233,89637.7,43153.6,-0.895604,-19.8573,-3.11183,13.1546,-0.00185793,3,0
234,89637.8,43153.4,-0.895794,-19.8662,-3.11202,12.8548,-0.00126916,3,0
235,89638,43153.2,-0.895984,-19.8751,-3.11221,12.5549,-0.00126916,3,0
236,89638.2,43152.9,-0.896175,-19.8839,-3.1124,12.255,-0.00126916,3,0
237,89638.4,43152.7,-0.896365,-19.8926,-3.11259,11.9551,-0.00126916,3,0
238,89638.6,43152.5,-0.896556,-19.9013,-3.11278,11.6553,-0.00126916,3,0
239,89638.8,43152.2,-0.896746,-19.91,-3.11297,11.3554,-0.00126916,3,0
240,89639,43152,-0.896936,-19.9186,-3.11316,11.0555,-0.00126916,3,0
241,89639.2,43151.8,-0.897127,-19.9271,-3.11335,10.7556,-0.00126916,3,0
242,89639.3,43151.5,-0.897317,-19.9356,-3.11354,10.4557,-0.00126916,3,0
243,89639.5,43151.3,-0.897507,-19.944,-3.11373,10.1559,-0.00126916,3,0
244,89639.7,43151,-0.897673,-19.9523,-3.1139,9.85597,-0.00110535,3,0
245,89639.9,43150.8,-0.897839,-19.9607,-3.11406,9.55609,-0.00110535,3,0
246,89640.1,43150.6,-0.898005,-19.9689,-3.11423,9.2562,-0.00110535,3,0
247,89640.3,43150.3,-0.898171,-19.9771,-3.1144,8.95631,-0.00110535,3,0
248,89640.5,43150.1,-0.898336,-19.9853,-3.11456,8.65642,-0.00110535,3,0
249,89640.7,43149.9,-0.898502,-19.9934,-3.11473,8.35653,-0.00110535,3,0
250,89640.8,43149.6,-0.898668,-20.0014,-3.11489,8.05663,-0.00110535,3,0
251,89641,43149.4,-0.898834,-20.0095,-3.11506,7.75674,-0.00110535,3,0
252,89641.2,43149.2,-0.899,-20.0174,-3.11522,7.45684,-0.00110535,3,0
253,89641.4,43148.9,-0.899441,-20.0253,-3.11567,7.15694,-0.0029419,3,0
254,89641.6,43148.7,-0.899882,-20.0331,-3.11611,6.85704,-0.0029419,3,0
255,89641.8,43148.5,-0.900324,-20.0407,-3.11655,6.55714,-0.0029419,3,0
256,89642,43148.2,-0.900765,-20.0483,-3.11699,6.25723,-0.0029419,3,0
257,89642.1,43148,-0.901206,-20.0556,-3.11743,5.95731,-0.0029419,3,0
258,89642.3,43147.8,-0.901647,-20.0629,-3.11787,5.6574,-0.0029419,3,0
259,89642.5,43147.5,-0.902089,-20.07,-3.11831,5.35748,-0.0029419,3,0
260,89642.7,43147.3,-0.90253,-20.077,-3.11875,5.05756,-0.0029419,3,0
261,89642.9,43147.1,-0.902971,-20.0838,-3.1192,4.75763,-0.0029419,3,0
262,89643.1,43146.8,-0.903413,-20.0906,-3.11964,4.45771,-0.0029419,3,0
263,89643.3,43146.6,-0.904235,-20.0971,-3.12046,4.15777,-0.00548251,3,0
264,89643.4,43146.3,-0.905057,-20.1035,-3.12128,3.85783,-0.00548251,3,0
265,89643.6,43146.1,-0.90588,-20.1096,-3.1221,3.55789,-0.00548251,3,0
266,89643.8,43145.9,-0.906702,-20.1154,-3.12293,3.25794,-0.00548251,3,0
267,89644,43145.6,-0.907524,-20.121,-3.12375,2.95799,-0.00548251,3,0
268,89644.2,43145.4,-0.908347,-20.1264,-3.12457,2.65803,-0.00548251,3,0
269,89644.4,43145.2,-0.909169,-20.1315,-3.12539,2.35807,-0.00548251,3,0
270,89644.6,43144.9,-0.909992,-20.1363,-3.12622,2.05811,-0.00548251,3,0
271,89644.7,43144.7,-0.910814,-20.1409,-3.12704,1.75814,-0.00548251,3,0
272,89644.9,43144.5,-0.911636,-20.1453,-3.12786,1.45817,-0.00548251,3,0
