s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
162.9653106,89621.3231060,43180.3188256,1.4331141,-0.1674982,18.415839,0.0
163.6646673,89621.4594709,43181.0047588,1.3279559,-0.1332404,18.415839,0.0
164.3641092,89621.6590970,43181.6751083,1.2389018,-0.1214209,18.415839,0.0
165.0635411,89621.9148617,43182.3260994,1.1519384,-0.1272423,18.415839,0.0
165.7629939,89622.2274844,43182.9517999,1.0632891,-0.1262361,18.415839,0.0
166.4624868,89622.5940871,43183.5475288,0.9745019,-0.1276351,18.415839,0.0
167.1619674,89623.0123378,43184.1081887,0.8879536,-0.1198298,18.415839,0.0
167.8614325,89623.4760480,43184.6318529,0.8053155,-0.1164572,18.415839,0.0
168.5608949,89623.9808281,43185.1160479,0.7230746,-0.1186972,18.415839,0.0
169.2603556,89624.5240217,43185.5567131,0.6379001,-0.1248416,18.415839,0.0
169.9598408,89625.1035975,43185.9483399,0.5472760,-0.1342823,18.415839,0.0
170.6593096,89625.7173344,43186.2838744,0.4535958,-0.1335862,18.415839,0.0
171.3587229,89626.3596488,43186.5606620,0.3608991,-0.1314738,18.415839,0.0
172.0581322,89627.0246615,43186.7772985,0.2706339,-0.1266375,18.415839,0.0
172.7575763,89627.7062645,43186.9342680,0.1838579,-0.1214877,18.415839,0.0
173.4570753,89628.3987851,43187.0328277,0.1000049,-0.1182693,18.415839,0.0
174.1565990,89629.0971065,43187.0738244,0.0196085,-0.1115979,18.415839,0.0
174.8561048,89629.7964803,43187.0602380,-0.0570019,-0.1074409,18.415839,0.0
175.5556097,89630.4928589,43186.9941776,-0.1309757,-0.1040590,18.415839,0.0
176.2551352,89631.1826094,43186.8776435,-0.2027880,-0.1012557,18.415839,0.0
176.9546998,89631.8624207,43186.7125762,-0.2734168,-0.1006684,18.415839,0.0
177.6542907,89632.5289566,43186.5000737,-0.3402379,-0.0903649,18.415839,0.0
178.3538773,89633.1807320,43186.2458880,-0.4004719,-0.0818326,18.415839,0.0
179.0534710,89633.8169019,43185.9548226,-0.4537361,-0.0704357,18.415839,0.0
179.7531095,89634.4380022,43185.6327534,-0.4990054,-0.0589736,18.415839,0.0
180.4527839,89635.0453197,43185.2853205,-0.5347103,-0.0430901,18.415839,0.0
181.1524734,89635.6419008,43184.9197301,-0.5589388,-0.0261651,18.415839,0.0
181.8521773,89636.2317014,43184.5432717,-0.5717508,-0.0104566,18.415839,0.0
182.5518865,89636.8187362,43184.1625054,-0.5727001,0.0077431,18.415839,0.0
183.2515920,89637.4078223,43183.7849271,-0.5611566,0.0252529,18.415839,0.0
183.9512804,89638.0034731,43183.4178249,-0.5371172,0.0434622,18.415839,0.0
184.6509499,89638.6099939,43183.0690126,-0.4997064,0.0634782,18.415839,0.0
185.3505858,89639.2313733,43182.7474881,-0.4495491,0.0799078,18.415839,0.0
186.0501513,89639.8696827,43182.4612138,-0.3884735,0.0947018,18.415839,0.0
186.7496625,89640.5254922,43182.2178420,-0.3175127,0.1081764,18.415839,0.0
187.4491805,89641.1978301,43182.0247431,-0.2369825,0.1220696,18.415839,0.0
188.1486979,89641.8841864,43181.8896890,-0.1499638,0.1267434,18.415839,0.0
188.8481231,89642.5797129,43181.8159431,-0.0617281,0.1255500,18.415839,0.0
189.5475441,89643.2790229,43181.8034789,0.0254684,0.1237808,18.415839,0.0
190.2470072,89643.9768333,43181.8515332,0.1100512,0.1180691,18.415839,0.0
190.9465180,89644.6683482,43181.9569961,0.1896098,0.1094035,18.415839,0.0
191.6460594,89645.3498057,43182.1150276,0.2618349,0.0970896,18.415839,0.0
192.3456341,89646.0189986,43182.3189532,0.3254023,0.0846414,18.415839,0.0
193.0452512,89646.6749900,43182.5621391,0.3793502,0.0695829,18.415839,0.0
193.7448886,89647.3183886,43182.8369673,0.4221867,0.0528699,18.415839,0.0
194.4445608,89647.9512150,43183.1354167,0.4540938,0.0383373,18.415839,0.0
195.1442594,89648.5758326,43183.4507435,0.4752291,0.0220764,18.415839,0.0
195.8439661,89649.1955122,43183.7756846,0.4846223,0.0047728,18.415839,0.0
196.5436754,89649.8141055,43184.1026944,0.4826140,-0.0105133,18.415839,0.0
197.2433780,89650.4350816,43184.4251419,0.4702658,-0.0247824,18.415839,0.0
197.9430707,89651.0615465,43184.7367691,0.4477806,-0.0394892,18.415839,0.0
198.6427557,89651.6963746,43185.0309671,0.4159839,-0.0514010,18.415839,0.0
199.3424128,89652.3413447,43185.3021380,0.3774718,-0.0586874,18.415839,0.0
200.0420452,89652.9968792,43185.5465966,0.3329816,-0.0684925,18.415839,0.0
200.7416740,89653.6633676,43185.7593725,0.2826089,-0.0755084,18.415839,0.0
201.4412764,89654.3401358,43185.9366528,0.2271399,-0.0830634,18.415839,0.0
202.1408634,89655.0260426,43186.0743255,0.1639898,-0.0974754,18.415839,0.0
202.8404137,89655.7196997,43186.1649373,0.0904638,-0.1127441,18.415839,0.0
203.5398687,89656.4182442,43186.2006141,0.0028394,-0.1378196,18.415839,0.0
204.2391786,89657.1168349,43186.1689044,-0.1004452,-0.1575580,18.415839,0.0
204.9384167,89657.8076323,43186.0605856,-0.2160001,-0.1729405,18.415839,0.0
205.6376631,89658.4803260,43185.8697227,-0.3427993,-0.1897611,18.415839,0.0
206.3368145,89659.1217705,43185.5915834,-0.4790672,-0.2000724,18.415839,0.0
207.0357919,89659.7180282,43185.2268283,-0.6226136,-0.2106262,18.415839,0.0
207.7347168,89660.2542913,43184.7785896,-0.7715735,-0.2156202,18.415839,0.0
208.4336162,89660.7171657,43184.2549412,-0.9252274,-0.2240716,18.415839,0.0
209.1325240,89661.0927093,43183.6655016,-1.0823865,-0.2256383,18.415839,0.0
209.8314953,89661.3710435,43183.0243378,-1.2410740,-0.2284893,18.415839,0.0
210.5303235,89661.5438473,43182.3472118,-1.4031309,-0.2352835,18.415839,0.0
211.2290816,89661.6034864,43181.6510033,-1.5685918,-0.2383096,18.415839,0.0
211.9277486,89661.5469173,43180.9546302,-1.7389208,-0.2492430,18.415839,0.0
212.6264129,89661.3705518,43180.2785925,-1.9148156,-0.2542086,18.415839,0.0
213.3252556,89661.0774329,43179.6441932,-2.0864997,-0.2371329,18.415839,0.0
214.0242803,89660.6835635,43179.0666965,-2.2349706,-0.1876667,18.415839,0.0
214.7235152,89660.2173869,43178.5455356,-2.3488802,-0.1381566,18.415839,0.0
215.4229803,89659.7029391,43178.0716212,-2.4323204,-0.1004546,18.415839,0.0
216.1225643,89659.1563932,43177.6349228,-2.4947334,-0.0779839,18.415839,0.0
216.8222145,89658.5867928,43177.2286400,-2.5427664,-0.0593275,18.415839,0.0
217.5218859,89658.0008056,43176.8463324,-2.5804447,-0.0483770,18.415839,0.0
218.2215584,89657.4022153,43176.4840740,-2.6117699,-0.0411649,18.415839,0.0
218.9212420,89656.7934311,43176.1391986,-2.6385933,-0.0355083,18.415839,0.0
219.6209324,89656.1762614,43175.8095500,-2.6622397,-0.0320829,18.415839,0.0
220.3206306,89655.5518409,43175.4938341,-2.6828633,-0.0268672,18.415839,0.0
221.0203320,89654.9215929,43175.1899103,-2.6995311,-0.0207755,18.415839,0.0
221.7200355,89654.2869918,43174.8951792,-2.7117425,-0.0141291,18.415839,0.0
222.4197431,89653.6495043,43174.6067345,-2.7189464,-0.0064619,18.415839,0.0
